case_number,county,quotes
165,Kings,"""Thus, the court finds that the People failed to exercise diligent efforts and good faith in filing their COC."""
166,Kings,"""Despite their assertions to the contrary, the Court finds that the People's COC was neither filed in good faith nor were they diligent in ascertaining and providing the missing [evidence]."""
166,Kings,"""Therefore, it is incomprehensible why the [evidence] were not amongst those documents disclosed on [date redacted] if they were in the People's possession."""
167,Queens,"""Although the People have belatedly disclosed the missing discovery in good faith, they offer no evidence of due diligence as to why the belated disclosures occurred in the first place."""
167,Queens,"""The People do not provide a factual account for the failure to disclose the discoverable material, but instead rely on the defendant’s obligation to diligently confer to alert them that the document (which is easily identifiable based on the People’s complaint) was missing."""
168,Queens,"""Based on the [evidence], the court finds that the People failed to exercise due diligence prior to filing their COC."""
169,NY,"""The People's efforts to acquire these police generated records were quite clearly deficient and lacked the requisite 'reasonableness' given the circumstances of this case."""
170,Bronx,"""The Court is dubious about the People's lament that they should have been told of the purportedly missing items sooner as it appears, on the record before the Court, that they have made no attempts at all to address the defendant's claims in approximately five months. In other words, the People have failed to 'diligently confer' with the defendant to resolve any discovery-related issues."""
170,Bronx,"""Here, however, the People have not detailed their efforts which might have demonstrated to the Court that the challenged COC was filed in 'good faith' after the exercise of 'due diligence'."""
171,NY,"""The People ask the court to accept that their good faith interpretation of the statute absolves them of their failure to disclose discoverable material that was in their possession. However, as discussed above, two appellate decisions and numerous trial courts have held that disclosure is required, and in none of them has the People's 'good faith' been used as a legal rationale to validate the People's failure to comply with the statute."""
172,NY,"""Nor is the court persuaded by the People’s argument that their COC was filed in good faith."""
173,Bronx,"""The Court finds that the People failed to exercise due diligence with regards to this [evidence]. [...] Here, the People waited until over [70 days] to even inquire into the existence of this [evidence]. To a prosecutor exercising due diligence, the outstanding [evidence] would have been easily ascertained as a simple inquiry earlier on in the case would have illuminated its existence."""
174,Queens,"""When the People chose not to disclose [police disciplinary evidence] that were in their possession, they were not providing '[a]ll evidence and information' in their possession as mandated by [the discovery law]."""
175,Queens,"""The People, as a matter of internal office policy, have been unilaterally redacting law enforcement information without leave of court and have been selectively withholding disciplinary records that they themselves deem non-discoverable or irrelevant to the question of impeachment. These are determinations that are not for the People to decide."""
175,Queens,"""When the People chose not to disclose [the police disciplinary records] that were in their possession, and the underlying [records], they were not providing '[a]ll evidence and information' in their possession as mandated by [the discovery law]."""
176,Kings,"""Accordingly, the court finds that the People failed to show that they exercised the requisite due diligence in obtaining and disclosing the [evidence] prior to filing their COC."""
176,Kings,"""The People, in opposition, fail to allege any efforts to obtain and disclose the [evidence] prior to filing the COC, despite being on notice that the defendant was challenging the legality of his arrest for 175 days prior to the COC."""
177,NY,"""As discussed above, however, the initial COC [was] not valid because of the People’s failure to disclose all required the law enforcement disciplinary records."""
178,Queens,"""Although the People have belatedly disclosed the missing [evidence] in good faith, they offer no evidence of due diligence when they filed their original COC."""
179,Richmond,"""On the record before this Court, the People have failed to meet their burden of establishing that they exercised due diligence and made reasonable inquiries prior to the filing of the [date redacted] COC."""
180,Kings,"""The People have submitted no evidence to show that they reviewed their discovery before disclosure to Defendant."""
181,Kings,"""Additionally, the record reveals a pattern of the prior assigned ADA making representations that discovery items did not exist when the items were deemed in the People’s possession and did in fact exist."""
181,Kings,"""The People’s lack of good faith and lack of due diligence is even more obvious, because once the case was assigned to a new ADA who appeared on [date redacted], that ADA ascertained and obtained the discovery items and turned them over on [date redacted]."""
182,Kings,"""As a result, the People have failed to establish to the court’s satisfaction that they have acted diligently and have made good faith and reasonable efforts in complying with their discovery obligations."""
183,Queens,"""Although the People’s COC was filed in good-faith reliance on [name redacted]’s assertion that everything had been disclosed, the People do not provide evidence of due diligence when reviewing that [evidence] as for involvement of other officers."""
184,Kings,"""Based on the People's actions here, the court cannot conclude that the People demonstrated good faith or due diligence when they filed the COC."""
184,Kings,"""By attempting to satisfy their discovery obligations in the eleventh hour, the People left themselves no time to correct any errors or omissions."""
185,Richmond,"""Considering the above facts, the Court finds it was not reasonable that no inquiries were made as to who this [potential witness] was and what, if any, role he had regarding this case."""
186,Kings,"""Here, the Court [...] finds that--under the particular facts and circumstances of this case--the People have not demonstrated that they exercised due diligence or made reasonable inquiries to ascertain the existence of discoverable materials prior to serving and filing their [date redacted] COC."""
186,Kings,"""The People concede that they belatedly disclosed numerous discoverable items, do not identify any special circumstances to excuse their noncompliance, and fail to proffer sworn facts demonstrating that they acted with due diligence."""
186,Kings,"""Indeed, the People concede that they are 'unable to detail ... specific measures of good faith and due diligence.'"""
187,Queens,"""In an email dated [date redacted], the People, in response to a court inquiry stated that the People were aware of the use of the [instrument by the police] but the assigned ADA did not realize [evidence related to the instrument] at the time of [the COC filing]. [..] This falls short of due diligence."""
188,NY,"""Nor is the court persuaded by the People’s argument that their COC was filed in good faith due to the absence of 'controlling appellate authority.' To the contrary, such authority did exist given the First Department decision in [name redacted]. Furthermore, any differences of opinion at the trial level should have prompted the People to take the safer approach of disclosing the materials given that the statute mandates 'a presumption in favor of disclosure' when interpreting its provisions."""
189,Bronx,"""The People have not satisfied their burden of exercising 'due diligence' in complying with their discovery obligation under the statute."""
190,Queens,"""Rather, here, the People had a list of officers participating in the defendant’s arrest and knowingly failed to disclose discoverable [disciplinary] material in their [possession], demonstrating a blatant disregard for the disclosure requirements of the statute."""
191,Kings,"""The court found that the People did not make the requisite showing of diligent efforts to obtain mandated disclosure."""
192,Queens,"""The People do not provide any account of their due diligence or explanation for belated discovery for the [evidence]."""
192,Queens,"""This is exactly the case here: the People had the [evidence] in their possession at the time of filing their COC and only made efforts to disclose them after falsely certifying all discovery had already been disclosed."""
192,Queens,"""For both the [evidence], the People do not provide any evidence of due diligence to disclose those documents prior to filing their COC."""
193,NY,"""The court finds that the People were obligated to disclose the underlying disciplinary [police] records for [name redacted] prior to filing a COC."""
194,Richmond,"""On the facts of this case, the People’s lack of inquiry into, and subsequent failure to disclose, the [evidence] is not reasonable."""
195,Kings,"""The People failed to demonstrate that they operated in good faith, exercised due diligence, and showed that they expeditiously provided any missing discovery to the defense."""
196,Queens,"""In this case, the Court cannot conclude that the People exercised due diligence to ascertain the existence of material and information subject to discovery before the filing of the initial certificate of compliance."""
196,Queens,"""Given these deficiencies in the certificate of compliance, the Court finds that the filing of the certificate of compliance on [date redacted], was not reasonable under the circumstances."""
197,NY,"""Here, the Court finds that the People did not demonstrate due diligence or act reasonable in their efforts to comply with their discovery obligations."""
198,Queens,"""Making a blanket decision to withhold evidence created by law enforcement during the defendant’s arrest without ever reviewing that evidence does not demonstrate 'reasonable efforts' to comply with the [discovery law]' and is not a showing of due diligence."""
199,Queens,"""The People filed their COC on [date redacted] and did not make any effort to disclose or confirm the existence of the [evidence] until months after they certified discovery compliance. Following the defendant’s challenge, the People still cannot provide any information about the [evidence]."""
199,Queens,"""Regardless, the People make no showing of due diligence to disclose the underlying [police disciplinary] records for Officer [name redacted]. For the reasons already mentioned, without those documents, or a showing of due diligence to make those documents available for discovery, the People’s COC is invalid."""
200,Kings,"""The People do not dispute their failure to include [evidence] with their COC on [date redacted] and acknowledge that this discovery was not served on defense counsel until [date redacted]."""
201,Queens,"""In their barebones motion response, the People failed to demonstrate that they exercised diligent, good faith efforts to disclose the [evidence] at issue prior to filing their initial COC."""
202,Queens,"""The People failed, however, to diligently attempt to obtain the underlying police disciplinary records for Officer [name redacted]. Indeed, they did not request the records until [date redacted] — nearly three months after their [date redacted], certificate of compliance."""
202,Queens,"""Moreover, they did not follow up on their request until after this court directed them to do so in its [date redacted], order. Once the People followed up, they received the records within five days, demonstrating that if they had followed up sooner, they would have likely received the materials much sooner than they did."""
203,Kings,"""The People’s efforts can hardly be described as 'diligent' or 'reasonable' when, outside of a conversation with the previously assigned prosecutor, the People made a single request for underlying [police disciplinary] materials for Detective [name redacted]."""
204,Bronx,"""In light of the People’s failure to request any information from the police related to the [other] investigation until more than two years after the commencement of this action, the court finds that the People failed to exercise due diligence and make 'reasonable inquiries to identify mandatory discovery items relating to this case.'"""
204,Bronx,"""The People should have requested any and all documents and information related to [another] investigation from the police after a police witness provided some of the documents in [date redacted]. They did not. [...] It should have been obvious to any prosecutor exercising due diligence that discoverable materials related to the subject matter of this case were missing."""
205,Kings,"""The Court finds that the People have failed to establish that they exercised due diligence and make reasonable inquiries prior to filing their COC."""
206,Kings,"""First, the People blatantly disregarded the Hon. [name redacted]'s order on [date redacted], to disclose the [police] disciplinary records at issue by [date redacted]."""
207,Bronx,"""Therefore, the Court find that the People's conduct falls short of due diligence and reasonableness and the People's Certificate of Compliance filed on [date redacted], the 90th day, invalid."""
208,Queens,"""Here, the court finds the People made no attempt in their opposition papers to explain the cause of the delay or to give the court any reason to believe that they exercised diligence or good faith to provide the [evidence] due to the defendant under the [discovery law]."""
209,Queens,"""Although the People seemingly argue that they acted in good faith, exercised due diligence and that [an evidence item] should be sufficient to meet their discovery obligations, they fail to explain the delays with the disclosure of [evidence] or the non-disclosure of [evidence]."""
210,NY,"""The [prosecution's] failure to disclose numerous items, despite being expeditiously alerted by defense counsel, the lack of explanation regarding the omissions, and the delay in ascertaining the existence of materials does not demonstrate 'the diligence reasonably expected from, and ordinarily exercised by, a person who seeks to satisfy a legal requirement or to discharge an obligation.'"""
210,NY,"""The People have similarly failed to establish due diligence with respect to the [evidence item]. The People were on notice of the missing [evidence item] as of [date redacted], two weeks after they filed their certificate of compliance. Yet the People concede that they did not contact the arresting officer until more than a month later, on [date redacted], to ascertain the whereabouts of the [missing evidence]."""
211,Richmond,"""The People’s efforts, detailed above, fall short of that standard. The Court simply cannot find that taking six additional weeks to obtain an officer’s [document] was diligent under these facts."""
212,Richmond,"""Without information detailing the date and time of requests made by the prosecution, the responses provided by the NYPD, or other efforts made to obtain the [evidence], the Court is unable to determine whether the People exercised due diligence prior to filing the COC on [date redacted]."""
213,Queens,"""For the above-mentioned reasons, the People’s COC filed on [date redacted] was invalid for insufficient due diligence, reasonable inquiry and disclosure of the [police disciplinary] records."""
214,Queens,"""Because of the People’s continued failure to provide the [evidence], the Court finds the People’s Certificate of Compliance and Supplemental Certificates of Compliance INVALID."""
215,NY,"""In the absence of any explanation for their failure to provide this material or to promptly respond to counsel's emails [about missing discovery], the People have not demonstrated that they exercised the requisite due diligence."""
215,NY,"""The People were obligated to show due diligence in obtaining the [evidence] and at least examining them to assess their contents. Instead, the People have chosen to continue to speculate that they are not discoverable without ever viewing them."""
216,Queens,"""It is clear that the People were required to disclose [the evidence] prior to providing the certificate of compliance. The failure to do so renders the certificate of compliance invalid."""
217,Kings,"""Based on the People’s explanation, the People failed to meet their burden of establishing that, before filing the [date redacted] COC, they had 'exercised due diligence' and 'made reasonable inquiries' as to whether the [evidence] were available."""
217,Kings,"""This barebone explanation offered by People fails to establish any diligence or that they made reasonable inquiries regarding mandated discovery before filing the [date redacted] COC."""
218,Bronx,"""Because the People have so clearly failed to exercise any of the due diligence required by [the discovery law], the Court should deem their prior COCs invalid."""
218,Bronx,"""A conclusory statement by the People that they exercised good faith and due diligence in complying with their discovery obligations is insufficient."""
219,Bronx,"""Here, the People have not been duly diligent in obtaining [disciplinary police records] for their testifying witness [name redacted]. The People admit they only disclosed summaries [of these records] prior to certifying their compliance and did not disclose [fuller records] until [date redacted], three months after they first certified compliance with discovery on [date redacted]."""
220,Bronx,"""As such, whenever the People decided to call this officer as a witness it was incumbent on them to get this material without further delay. The People's response was devoid of any explanation as to why they delayed in obtaining and producing the material. [...] Without more specific information from the People, the Court cannot assess whether they exercised due diligence."""
221,NY,"""Given the nature and number of items that the People did not disclose prior to filing the COC [...] and the factors set forth in [name redacted], for assessing due diligence, the Court finds that due diligence was not properly set forth, and as such, the COC, dated [date redacted], is deemed to be invalid."""
222,Queens,"""Without an articulation of the due diligence taken by the People, the Court cannot find that the [date redacted] Certificate of Compliance and the [date redacted] Supplemental Certificate of Compliance were filed in good faith."""
223,Queens,"""Three phone calls to a single detective is an unreasonable amount of inquiry to obtain discoverable material the People know to exist. With no showing of due diligence to disclose the underlying records or motion showing good cause for delaying the discovery timeline, the People’s COC filed without the abovementioned police documentation is invalid."""
224,Kings,"""The People's affirmation in opposition fails to set forth sufficient efforts of due diligence by the People to obtain and disclose the [evidence]."""
224,Kings,"""Moreover, the People's email dated [date redacted] candidly asserts that the People were fully aware that they had not met their automatic discovery obligations pursuant to [law redacted] at the time they filed their COC."""
225,Bronx,"""Despite numerous requests by the defendant for witness information of the hospital staff that lead to the defendant ultimately getting arrested, the People intentionally redacted the pertinent information in the officer’s memo book and then repeatedly disavowed its existence. Their actions here bely their claims of good faith and due diligence."""
226,NY,"""This court is loath ever to ascribe bad faith to any attorney. But the People's discovery practice in this case has been problematic from the start. As Judge Weiner noted, the People filed their COC promptly, but invalidly - effectively using it as a placeholder while they continued to gather and withhold discovery. This was not what the legislature, nor the Court of Appeals intended[]. Once ordered to obtain and serve complete discovery, the People moved for a protective order to again argue discoverability, without even obtaining the documents in question. There is no evidence here of any good faith effort to comply with Judge Weiner's order, or of a meritorious, non-frivolous, proper motion for a protective order."""
227,Queens,"""As identification evidence is central to this case, and as the resolution of its admissibility is critical, as asserted by defendant [...], the People's unwillingness to disclose the records, including the disciplinary records, of those conducting the photo array, information that could 'undermine evidence of the defendant's identity as a perpetrator of a charged offense,' or 'provide a basis for a motion to suppress evidence,' likewise violated the discovery statute."""
228,Bronx,"""This singular attempt to acquire the [evidence] from [name redacted] when the [evidence] the People provided to defense counsel reflect that [names redacted] conducted to home visit is unreasonable and does not demonstrate due diligence. When defense counsel notifies the defense of missing discovery, the People cannot blithely, without first looking into defense counsel’s claim, simply declare that the discovery does not exist, without first exercising due diligence, good faith and reasonableness to ensure that the item does not in fact exist."""
229,Kings,"""A COC filed without an inquiry adequate to shed light on the very important question how and by whom the recovered [evidence] was then safeguarded until the [a specific police unit] arrived cannot, in this court’s estimation, be viewed as reflective of due diligence or reasonable."""
230,Queens,"""The People’s conclusory explanation that the material was voluminous, without more, does not satisfy their good faith and due diligence obligations, especially here, where they filed a CoC on [date redacted] and a Supplemental CoC on [date redacted], five months after defendant’s arrest."""
231,Bronx,"""It is unacceptable for the prosecution to file a CoC on the 90th day, having listed numerous discoverable items on their CoC, while actually not having disclosed nearly any of those items."""
231,Bronx,"""Although a technical error may be deemed compliance by the statutory standard of 'good faith,' the constant disregard of statutory deadlines and repeated errors attributed to technology more than three years after the enactment of the discovery reforms, hardly touch the cornerstone of 'due diligence' and 'reasonableness'."""
232,Queens,"""The People have failed to turn over relevant disciplinary records of all officers listed as having information related to this case and have not demonstrated due diligence in obtaining the relevant documents in their constructive possession in a timely fashion."""
233,Bronx,"""Moreover, the People's conclusory assertions of their alleged good faith and exercise of due diligence with respect to the [evidence] are insufficient."""
233,Bronx,"""The defense was deprived of even knowledge that [evidence] existed, until [date redacted], clearly hindering the defense's ability to prepare for trial."""
234,Richmond,"""Here, the People have failed to demonstrate that their initial certificate was proper. After making several belated disclosures after its filing, the People failed to 'detail the basis for the delayed disclosure'."""
235,Queens,"""The People’s opposition papers are bereft of any meaningful legal explanation of why the [evidence] were not provided with the original certificate of compliance."""
235,Queens,"""Moreover, despite defense counsel attempts to communicate with the prosecutor about access to these [evidence], the lack of any response by the prosecutor demonstrates the lack of reasonableness and due diligence by the prosecutor to ensure that counsel received all relevant information to which the defendant is entitled."""
236,Kings,"""Therefore, it cannot be said that the People acted with due diligence with regard to the disclosure of this material."""
236,Kings,"""Therefore, this court therefore finds that the People did not file their COC in good faith and accordingly, is invalid."""
237,Bronx,"""Under these circumstances, repeating the same unsuccessful request in the same manner six times over the course of eight months, and hoping for the best, did not constitute reasonable efforts to comply with the People’s statutory discovery obligations."""
238,Kings,"""The People did not turn over any discovery until day 90. This significant fact cannot be overlooked or minimized. The statute calls for initial disclosure on day 35; day 65 where discovery is voluminous."""
239,Queens,"""The People do not describe what, if any, diligent, good faith efforts they made to obtain and disclose these [police disciplinary] records prior to filing their COC."""
239,Queens,"""Being that [evidence] are created or generated by the NYPD, these items were in the possession of the NYPD since their creation and, therefore, in the possession of the People. Accordingly, this court finds that the People's lack of disclosure from, at least, [date redacted], to [date redacted], constituted an unreasonable delay."""
240,Queens,"""The court finds the People failed to exercise due diligence and show reasonable efforts to expedite the production of the [evidence]."""
240,Queens,"""After not receiving the [evidence] within two weeks of her conversation with the supervisor of the [body providing evidence,] the prosecutor failed to demonstrate what subsequent efforts she made as to when the [evidence] would be available."""
241,Bronx,"""Although the People's [date redacted] COC referred to an [evidence,] it is undisputed that no such [evidence] was disclosed to the defense."""
242,NY,"""In light of the several instances of belated disclosures, and because of the failure of the People to show they exercised 'due diligence,' and made 'reasonable efforts' to identify and disclose the necessary discovery prior to [date redacted], when they filed the initial COC, the COC is [invalid]."""
243,NY,"""The People here did not make meaningful inquiries regarding items typically generated at the time of an arrest until after filing their original purported COC."""
244,Queens,"""The court finds that People should have reviewed their discovery items and should have known only 3 of the 8 [evidence items] were disclosed. People clearly failed to comply with [the discovery law] and as such, the Certificate of Compliance filed on [date redacted], is not valid."""
245,Queens,"""Therefore, the court finds that the People failed to 'make reasonable inquires to ascertain the existence' of these discoverable [evidence]. Given that [evidence] are so commonly produced in criminal cases that are handled by the NYPD, and the People failed to provide any information as to what diligent, good faith attempts they made to obtain these [evidence] prior to filing the COC, the court finds that People did not 'make a diligent, good faith effort to ascertain the existence of material or information discoverable' under the statute and the filing of their COC was not reasonable under these circumstances."""
246,Kings,"""Under the totality of the circumstances presented in the instant matter, the People have failed to meet their discovery obligations [...]. The People have not demonstrated that they exercised due diligence before filing the Certificate of Compliance."""
247,Kings,"""In the instant matter, the Prosecution has not provided adequate explanation for their delay and/or failure to provide discovery as required under [the discovery law]. The Prosecution did not file a [...] motion seeking permission from the Court to broaden the disclosure period. The Prosecution has failed to show any evidence of diligent steps taken to avoid belated disclosure prior to the filing of the [date redacted] COC [...] even after the Defense’s multiple notifications of outstanding discovery."""
247,Kings,"""Further, the Prosecution has not made a sufficient showing of what efforts were made to ensure [discovery law] compliance after Defense provided a detailed missing discovery request: It is this Court’s position that the filing was not done in good faith."""
248,Queens,"""The People have not shown any additional efforts that were made to obtain these [evidence]."""
248,Queens,"""Once the People did not receive the missing material after they requested it from the NYPD, the People failed to follow-up and seek the missing material again."""
249,Queens,"""Upon review of the factors enunciated by the Court of Appeals [...], the circumstances of this case, and the actions taken by the People here, as described in the party submissions, the Court is not satisfied that the People have conducted due diligence sufficient to satisfy C.P.L. Article 245, and reasonable under the circumstances of this case."""
249,Queens,"""The prosecution’s COC was improper and invalid because discoverable materials were not disclosed and made available to the defense."""
250,Queens,"""By seeking a subpoena — the first attempt to get [evidence] — 133 days after the People filed a certificate of compliance, the People cannot show diligence."""
251,Kings,"""It is inexplicable that the assigned ADA corresponded with defense counsel about plea negotiations, yet completely ignored counsel's queries regarding outstanding discovery items. The People's actions in this case fail to even approach the requisite level of good faith and diligence that the statute requires."""
252,Bronx,"""Remarkably, it has now come to light that even as the People were representing in court on [date redacted] that they had no such [police reports] and believed them not to exist, the People were in actual possession of 819 pages of [police reports] associated with this case two days prior to the discovery conference, i.e. on [date redacted]."""
252,Bronx,"""Upon realizing that they had provided incorrect information to the Court bearing directly on the Court’s COC ruling, the People should have alerted the Court themselves and corrected the record, rather than leaving it to Defendant to do so."""
253,NY,"""Thus, the failure to disclose the [evidence] prior to filing the original COC renders it invalid."""
254,Bronx,"""In the circumstances presented, the court finds that the People’s conduct falls short of due diligence and reasonableness."""
254,Bronx,"""Therefore, the People’s lack of explanation for their failure to even ascertain this basic item directly relating to the allegations is wholly deficient and not reasonable under these circumstances."""
255,Queens,"""As this Court stated in its prior decision on this case, where the People possess discoverable material after the initial certificate of compliance and fail to disclose said material, they violate their discovery obligations under [the law]."""
256,Queens,"""The People have not described any effort to obtain the [evidence] before filing their COC. Without a showing of due diligence and reasonable inquiry, the COC filed without ‘that information is invalid."""
257,Queens,"""Neither the COC or the People’s response to the motion to dismiss provides a basis for why there was a belief that the People would not be able to obtain the [evidence] in a reasonable amount of time."""
258,Kings,"""The People have failed to set forth facts showing their due diligence by failing to disclose the [evidence] with their initial disclosure or set forth special circumstances."""
259,Kings,"""The People made minimal effort to comply with their discovery obligations until time was running out on them and they have provided no excuse for this delay."""
260,NY,"""Further, given references to the civilian witness in the [evidence] and prosecution case notes, the People’s response fails to provide the court with a factual basis to support a finding of due diligence."""
261,Queens,"""When the People chose not to disclose [police disciplinary records] that were in their possession, they were not providing '[a]ll evidence and information' in their possession as mandated by [the discovery law]."""
262,Kings,"""It is evident, therefore, that the People were in actual possession of the records and simply failed to disclose them."""
263,Kings,"""Where the People’s own discovery indicates the existence of other discovery that they fail to obtain and turn over, particularly where it is a standard item of discovery, such is not due diligence [...] Here, the People were in possession of [evidence] and, if they had sufficiently familiarized themselves with the case, they should have known there was [another evidence item] and disclosed it to the defendant. [Having not done so], the People have failed to demonstrate diligence and reasonableness under the circumstances."""
264,Kings,"""Therefore, the facts fail to establish that the People engaged in diligent, good faith efforts to obtain the materials."""
265,NY,"""Accordingly, upon consideration of the circumstances in this case, this court finds that the People did not exercise due diligence and act reasonably in their efforts to comply with [the discovery law]."""
265,NY,"""As these materials have not yet been turned over, all of the People's COCs are improper."""
266,Richmond,"""I[T]he failure to turn over those underlying records invalidates the People’s COC dated [date redacted], and supplemental COC dated [date redacted], as the requested documents are still outstanding."""
267,Kings,"""In light of the People’s failure to demonstrate that the belatedly disclosed materials did not exist when they filed the original COC, as alleged in their SCOC, the court cannot find that the People acted with the necessary good faith and due diligence to timely obtain them. The People’s COC is, thus, invalid."""
267,Kings,"""While this court acknowledges that the People did make some amount of effort to obtain the [evidence], it does not find that the efforts were diligent."""
268,Kings,"""In light of the foregoing, this court finds that the People did not act with the requisite due diligence to ascertain the existence of and produce the [evidence] before the filing of the original COC. Accordingly, the People’s COC is invalid."""
269,Queens,"""However, the People chose not to disclose [police disciplinary records]. Accordingly, the certificate of compliance is invalid."""
270,Kings,"""Here, the People did not provide the [police] disciplinary records prior to filing their initial certificate of compliance. As a result, their [date redacted], certificate of compliance is deemed invalid."""
271,NY,"""At issue is whether the People exercised due diligence with respect to the [evidence]. They did not."""
272,Queens,"""The People never disclosed the above discussed [evidence] to Defendant."""
273,Queens,"""Given the serious deficiencies in both the People’s certificate of compliance and the People’s explanation thereof, the court finds that it was not reasonable under the circumstances. Further, the court does not have sufficient information to determine whether it was filed in good faith."""
274,NY,"""People’s delay here evinces a lack of due diligence. They waited twenty-eight (28) days after filing their CoC to inquire about materials that they should have known existed."""
274,NY,"""The Court is not convinced that People made such efforts here, particularly since they waited two (2) months after receiving a [required document] before subpoenaing the records, another delay for which they provide no explanation."""
275,Bronx,"""Based upon the foregoing, this Court finds that the People failed to articulate a basis for their belated disclosures in their SCOCs rendering their [date redacted] COC invalid."""
276,NY,"""Upon consideration of the circumstances in this case, the court finds that the People did not exercise due diligence or act reasonably in their efforts to comply with their discovery obligations."""
277,Queens,"""The People’s showing of due diligence is unpersuasive. Relying on blanket assurances that all discoverable material was already disclosed without reviewing the evidence itself is not diligent."""
278,Kings,"""The People have not provided an adequate explanation for their failure to provide the [evidence] prior to filing the certificate of compliance. The People’s only explanation for the delayed disclosure in the supplemental certificate of compliance was to say that they were unaware of their existence despite their due diligence."""
279,NY,"""Thus, the People have failed to show they exercised due diligence with respect to the [evidence], and the COC is invalidated for this reason."""
280,NY,"""[T]he Court finds that due diligence was not properly set forth, and as such, the COC, dated [date redacted] is deemed to be invalid."""
281,NY,"""Here, the People submitted long boilerplate argument about why they believe the [police disciplinary] records are not discoverable. They have not, however, described any efforts to obtain and disclose those records prior to the filing of their COC [...] The People's failure to timely and fully seek and disclose these items does not satisfy the due diligence standards."""
282,Queens,"""Where the People do not seek any of the numerous opportunities available for relief, they cannot be said to have exercised due diligence before filing their COC."""
283,Richmond,"""Without further information from the [name redacted] detailing their efforts to ascertain the existence of all relevant material, the Court finds that the [name redacted] have failed to establish due diligence."""
283,Richmond,"""As such, the Court finds that the COC filed on [date redacted], is invalid. The court finds that the supplemental COCs filed on [date redacted], and [date redacted], are also invalid as they did not cure the due diligence issues that invalidated the initial COC."""
284,NY,"""Nor is the court persuaded by the People’s argument that their COC was filed in good faith due to the absence of controlling appellate authority. To the contrary, such authority did exist; given the First Department decision in [case name]. Furthermore, any differences of opinion at the trial level should have prompted the People to take the safer approach of disclosing the materials given that the [discovery law] mandates 'a presumption in favor of disclosure [of evidence]' when interpreting its provisions."""
285,Kings,"""Without rehashing the bulk of the [defendant's] argument, it is uncontroverted that for many of the missing items of discovery, the People knew or should have been aware of their existence [but did not turn them over]."""
285,Kings,"""Additionally, the Court cannot accept the People’s position that they failed to disclose the copious amounts of NYPD materials because they were not in their possession at the time they filed their COC."""
286,Bronx,"""This case is the hallmark of a lack of diligence."""
286,Bronx,"""The People’s behavior in this case from its inception represents a disservice not only to the judicial process but to the parties injured because of the accident."""
287,Kings,"""The People’s papers fail to demonstrate any diligent efforts to obtain the [evidence] prior to filing their COC or show that they had a good faith basis to believe the [evidence] was not discoverable."""
288,Queens,"""It is good to see that the Queens District Attorney’s Office has changed its policy as to complying with their discovery obligations. In this case, it is too late since the compliance came 116 days after the commencement of the criminal action."""
289,Kings,"""As such, the court cannot find that the People exercised good faith and diligent efforts to obtain and disclose this information in a timely manner, rendering the COC invalid."""
290,Queens,"""As it appears that the [evidence] itself was never actually sent to defense counsel but merely emails indicating it was attached without the actual attachment discovery was incomplete at the time of certification."""
291,Queens,"""Accordingly, the court finds that the People's COC is invalid due to failure to disclose all underlying police disciplinary records."""
292,Queens,"""Without any information establishing that these [evidence items] do not exist, or that the People made a diligent, good faith effort to produce them, the missing [evidence] are a proper ground to invalidate the People’s COC."""
293,Queens,"""The People make no showing of diligent inquires to obtain and disclose all body worn camera footage prior to filing their COC. Rather, the People stated in their supplemental COC that their diligent efforts took place after they filed their COC."""
294,Queens,"""In short, the People's COC was invalid because they failed to turn over the underlying [police disciplinary] material for [name redacted] until three months after their original COC was filed."""
294,Queens,"""While the People provided supplemental discovery, the People did not demonstrate, or even try to show, that they had previously exercised due diligence to obtain the supplemental material, or that such material did not exist or was not previously in the People's possession or control."""
295,Kings,"""It is insufficient for the People to omit the specific steps they took to obtain outstanding [evidence] and instead, state in a conclusory manner, that they acted in good faith."""
296,Kings,"""The People do not contest that these documents were omitted from discovery and do not provide any details as to why they have not been provided."""
296,Kings,"""Based on the motion papers and the court record, the People have failed to provide the court with adequate details of their diligent, good faith efforts in complying with their automatic discovery obligations."""
297,NY,"""The People's assertion that they acted diligently, and that minor human error is to blame defies the record. Like the previous omissions, the People offer no reasonable explanation for this final discovery failure. They provide no iteration of their efforts to ensure this new information was disclosed timely. The People's indication that the error should be excused because they did not act 'with malicious intent' relates a gross misunderstanding of what it means to make a good faith representation of discovery compliance."""
297,NY,"""Good faith does not abound where the People fail to exercise due diligence and make reasonable inquiries."""
298,Kings,"""The People failed to exercise the requisite due diligence when they withheld clearly discoverable material. As such, the People’s COC was invalid."""
