case_number,county,quotes
50,Kings,"""Thus, the court is without information to determine whether the People properly complied with their discovery obligations."""
50,Kings,"""For the foregoing reasons, the court finds that the People have failed to exercise due diligence and make reasonable inquiries and, therefore their COC and SOR are invalid and illusory, respectively."""
51,Kings,"""The People's failure in this regard casts doubt on the validity of the initial COC."""
51,Kings,"""Thus, the court finds that the People have failed to establish due diligence."""
51,Kings,"""As such, the court finds that the People did not sufficiently establish due diligence here."""
51,Kings,"""In light of the above findings, the People's COC is invalid and therefore, the SOR is illusory."""
52,Queens,"""While the People made multiple attempts to obtain the outstanding memo books, the People's efforts cannot be described as diligent, and they did not make reasonable inquiries."""
52,Queens,"""Initially, the Court notes that, as police records, memo books are deemed to be in the People's possession and control."""
52,Queens,"""In this case, the People made one inquiry requesting the outstanding memo books shortly after the filing of the accusatory instrument, and then waited approximately two and one-half months to make an additional follow-up inquiry, which was made eight days before the expiration of the CPL § 30.30(1)(b) period."""
52,Queens,"""At that point, the People made several inquiries immediately prior to filing the COC."""
52,Queens,"""Additionally, when the People did receive certain outstanding memo books, they did not immediately disclose those materials and instead waited in some cases months to disclose them as a group on [date redacted]."""
53,Kings,"""People neglected to justify why they waited from [date redacted] to [date redacted], to disclose the [evidence] that was in their possession."""
53,Kings,"""The People expressed that since the [evidence] results were inadmissible at trial that the calibration reports were not discoverable. The Court disagrees with the People’s position."""
53,Kings,"""Even had the Court overlooked the failure to file the supplemental COC, the People in their opposition failed to explain the late disclosure in their affirmation."""
53,Kings,"""Contrary to the People’s assertions, [evidence] are discoverable."""
53,Kings,"""Thus, the People failed to disclose substantiated and unsubstantiated records for testifying police officers."""
54,NY,"""The People’s assertion that audit trails are not related to the subject matter of the case is perplexing."""
54,NY,"""Audit trails are automatically discoverable, and the People’s failure to disclose them renders them out of compliance with their CPL 245 discovery obligations."""
54,NY,"""The People admittedly made no effort to acquire audit trails prior to certifying compliance insisting: 'it is our position that audit logs are apart [sic] of evolving case law and are not automatically discoverable.'"""
54,NY,"""This court rules now as it has in the past that when the People rely on conflicting decisions from courts of concurrent jurisdiction, they do so at their own peril."""
54,NY,"""This impermissibly late disclosure of basic underlying materials was made knowingly by the People, in violation of their CPL 245 obligations."""
55,NY,"""Rather, they state that pursuant to their office policy, they will not even attempt to acquire such records, absent court order."""
55,NY,"""For these reasons, the People’s refusal to provide the underlying disciplinary records or adequately describe the misconduct at issue constitutes a failure to meet their discovery obligations."""
55,NY,"""The People’s reliance on their “good faith” is misplaced."""
55,NY,"""That the People might have applied good faith and due diligence in making their own determination that disciplinary records do not – or should not – fall within the statute is of no moment."""
55,NY,"""Thus, it was at their own peril that the People elected to withhold that material here."""
56,Queens,"""The civilian and OCME witness information 'relate to the subject matter of the case' and the People do not claim they did not have possession, custody or control of that information at the time they filed their COC or SCOCs."""
56,Queens,"""The court has reviewed the SCOC filed on [date redacted] submitted as exhibits by both the People and the defendant and cannot find any disclosure regarding the OCME representative’s identity, qualifications, or other required material under CPL 245.20 (1) (f)."""
56,Queens,"""The People do not provide the court with any information as to due diligence in obtaining the civilian nurse’s information at the outset of the case, or reasons why that information was not disclosed with the Forensic Toxicology Laboratory Report on [date redacted]."""
56,Queens,"""It is unreasonable under these circumstances to find that the People filed their SCOC in good faith once they had the Forensic Toxicology Laboratory Report and blood test result and were made aware of these witnesses."""
56,Queens,"""There is no explanation from the People regarding the basis for the delayed disclosure and, without more, the court cannot assume the delay is reasonable under these circumstances."""
57,NY,"""Here, the court finds that the People did not file their COCs in good faith or reasonably under the circumstances."""
57,NY,"""As the People did not turn over the simulator solution records for the six months prior to and six months after the defendant's breath test and made no diligent, good faith effort to do so, the court finds that all of the COCs are improper."""
57,NY,"""In turn, all of the People's statements of readiness are invalid."""
58,Kings,"""This Court finds that the People should not benefit from filing a superseding information eighty-nine (89) days after arraignment, and twenty-nine (29) days after the speedy trial time had elapsed."""
58,Kings,"""As such, the Court finds that the People's statement of readiness made on [date redacted], was illusory."""
59,Queens,"""Under these circumstances, the court finds the People acted with due diligence and in good faith. Accordingly, the defendant’s motion to invalidate the People’s certificate of compliance on this ground is denied."""
59,Queens,"""The People provided no information as to what steps they took to obtain the missing material, who they called or explaining why these materials were‘outstanding prior to filing their certificate of compliance."""
59,Queens,"""Despite the clarity of CPL § 245.50 that directs a supplement certificate of compliance to be served on the defendant and filed with the court when additional discovery is subsequently provided pursuant to section 245.60 of this article, the People failed to serve the defendant and file with the court a supplemental certificate of compliance for the discovery provided on [date redacted], [date redacted], and [date redacted]."""
59,Queens,"""Moreover, the statute also requires the prosecutor to identify the additional material and information provided in the supplemental certificate of compliance."""
59,Queens,"""Under the circumstances of this case, the court finds that the People’s certificate of compliance served on defendant and filed with the court on [date redacted], was invalid because it was not filed in good faith and demonstrates a lack of due diligence."""
60,Kings,"""When the People turned over several items of missing discovery on [date redacted], see list of items supra at p. 4, the People failed to file a Supplemental COC providing an explanation for the late disclosure of discoverable items that were in the People’s possession as required by C.P.L. § 245.50(1)."""
60,Kings,"""The failure to file a Supplemental COC with an explanation for why discoverable items were belatedly disclosed, prevents the court from making an individualized finding of 'special circumstances' that would otherwise justify the late disclosure."""
60,Kings,"""As the People have not filed a proper certificate of compliance pursuant to C.P.L. § 245.50(1), the People cannot 'be deemed ready for trial.'"""
60,Kings,"""The prosecution’s obligation to provide discovery, and certify compliance with that obligation, is not relieved by an absence of prejudice to the defendant."""
60,Kings,"""Contrary to the People’s argument, a showing of prejudice is not required to establish that a COC is improper."""
61,Bronx,"""This court has determined that the People have not met their burden and adequately demonstrated that the adjournment from [date redacted], to [date redacted], was for the purpose of conducting pre-trial suppression hearings, as opposed to allowing the People additional time to file a COC and SOR."""
61,Bronx,"""Therefore, the People’s argument that the adjournment period following a decision granting pre-trial hearings is excludable is a specious one because in the instant case the People did not require a reasonable period of time to prepare for hearings where the adjournment was for the purpose of filing a COC and SOR, and not for the purpose of conducting a hearing."""
61,Bronx,"""Clearly, an adjournment period for the purpose of filing a COC and SOR does not require a reasonable period of time to prepare, and therefore, does not qualify for a speedy trial exclusion mandated by CPL §30.30(4)(a)."""
61,Bronx,"""Indeed, an adjournment in order to give the People additional time to file a COC and SOR is not an extension of motion practice, and therefore the exclusion for motion practice under CPL §30.30(4)(a) is not applicable."""
61,Bronx,"""As of [date redacted], the People had not filed and served a COC and SOR, or announced their trial readiness on the record, therefore, this adjournment period from between [date redacted], and [date redacted], is chargeable against the People."""
62,Queens,"""The People filed their COC on [date redacted] and are silent as to their efforts to disclose the Motor Vehicle Collision and Mechanism Report, which was specifically mentioned throughout their detective’s submitted paperwork."""
62,Queens,"""The People do not explain why the report then took another month and a half to disclose to the defendant after they received it."""
62,Queens,"""The People have not provided any evidence of the steps they took to disclose all discoverable information, including the Motor Vehicle Collison and Mechanism Report, as they said in their certification."""
62,Queens,"""For these reasons, and after considering the factors argued, the People have not met their burden to show due diligence in compliance with statutory directives, and the COC filed without the Motor Vehicle Collision and Mechanism Report is invalid."""
62,Queens,"""For these reasons, the People have not met their burden to show due diligence to timely disclose the missing photos and diagrams created by law enforcement, and their COC filed without them is invalid."""
63,Kings,"""The People do not explain their delay in disclosing the discoverable materials."""
63,Kings,"""By their nature, the documents at issue likely contain statements by the complaining witness about Defendant, and information about the police response to those statements."""
63,Kings,"""This court finds that a DAS report for the complaining witness is relevant and discoverable."""
63,Kings,"""Thus, the People did not exercise due diligence to ascertain the existence of the document and obtain it."""
63,Kings,"""As such the People’s failure to disclose the command log or exercise any due diligence to obtain the document renders their COC invalid."""
64,Kings,"""The People's arguments are not only without merit and hypocritical but highlight one of the many reasons why the statutory requirement of the defendant being served the People's COC by the People accidentally failing to serve the defendant as required by statute and at the same want time want to hold the defendant responsible for not challenging the COC - that the defense did not know existed because they were never provided with it until two months after it was filed with the Court - in the time frame they are statutorily permitted to challenge a COC."""
64,Kings,"""By failing to serve the defendant with the COC and statement of readiness, the defendant was deprived of the opportunity to timely challenge the People's discovery compliance and trial readiness, should they have wanted to."""
64,Kings,"""Accordingly, the People did not comply with their statutory obligations as far as serving the COC on the defendant until it was served on the defense on July 29,2024."""
64,Kings,"""Accordingly, this court cannot deem that the original COC filed on May 22,2024 to be valid and their statement of readiness made on that date was illusory."""
64,Kings,"""In light of the foregoing, the People must be charged time pursuant to CPL section 30.30 for particular timeframes."""
65,Queens,"""Summaries are not all evidence and information. Therefore, the LEOW letter does not satisfy the requirements of CPL 245.20 (1) (k) which provision requires the People to disclose '[a]ll evidence and information' (emphasis added)."""
65,Queens,"""CPL 245.20 does not request partial compliance it mandates full compliance."""
65,Queens,"""The People do not have the discretion to determine which materials are necessary for the Defendant to appropriately defend against the charges and the People cannot be selective on which portions of the records are to be produced."""
65,Queens,"""Additionally, the production of heavily redacted files without having sought the requisite protective order is tantamount to a failure to produce the information."""
65,Queens,"""The People have not satisfied their obligation. Therefore, the certificate of compliance and the People’s statement of readiness is invalid."""
66,Richmond,"""The People’s drafting error here, however, cannot be cured by an amendment."""
66,Richmond,"""The People here argue that the Court should find that the missing address is a typographical error and that the insertion of the street address of '38 Marc Street' would not prejudice the defendant since the specific address of the offense may be found in other sources, such as a separately filed motion in limine and various items produced in discovery."""
66,Richmond,"""However, without pleading a home address, the alleged incident does not allege a violation of the order."""
66,Richmond,"""Here, the People have failed to demonstrate that their initial certificate was proper by articulating any efforts to ascertain the existence of materials related to the [date redacted] service of the order protection and to make it available for discovery."""
66,Richmond,"""Accordingly, the Court concludes that the People did not discharge their statutory discovery obligations before filing their COC and stating ready for trial."""
67,Queens,"""The People are ordered to turn over memo books for Officers [names redacted]."""
67,Queens,"""A letter summarizing evidence that the prosecutor is in possession of is insufficient under the statute."""
67,Queens,"""Withholding information in their possession does not comport with the presumption of openness."""
67,Queens,"""The People may not withhold known material and information subject to automatic discovery and expect the court to accept a certificate of compliance and statement of trial readiness."""
67,Queens,"""Based on the information provided by the prosecution, or lack thereof, regarding their efforts to obtain police misconduct records, this court cannot find that the prosecutor exercised good faith and due diligence in turning over all known discovery prior to filing their COC. Therefore, the COC is invalid."""
68,NY,"""Upon review of the police officer impeachment materials disclosed to the defendant, the court finds that the materials contain impermissible redactions."""
68,NY,"""Further, although the names of some attachments referenced in the impeachment materials have been redacted, it nevertheless appears to the court that the attachments themselves were not disclosed to the defendant."""
68,NY,"""As the attachments were made a part of these materials, they should have been turned over."""
68,NY,"""Accordingly, upon consideration of these circumstances, the court finds that the People did not exercise due diligence and good faith and did not act reasonably in their efforts to comply with their discovery obligations."""
68,NY,"""As such, the People's COCs are improper, and, in turn, their statements of readiness are invalid."""
69,Queens,"""The letter is not a self-certifying document made in the regular course of business (see CPL 60.10; CPLR 4518). No recitation of the contents of the letter would qualify for a hearsay exception as written, and in order to convert the hearsay within the letter, the author of the letter or the letter itself must accompany the accusatory instrument. Without such supporting documents, the accusatory instrument contains hearsay and is facially insufficient."""
69,Queens,"""These documents were in the People’s constructive possession (CPL 245.20 [2]) and it was the People’s duty to establish effective communication with law enforcement in order to obtain the documents (CPL 245.55). There is no evidence of good faith or due diligence as to the delayed or outstanding disclosure and the COC filed without the activity logs, metadata, reports and notes created by the NYPD officers involved in the defendant’s arrest was invalid."""
69,Queens,"""The People do not argue that these underlying records were not discoverable, and give no explanation as to why the records were disclosed belatedly."""
69,Queens,"""Underlying police disciplinary records are automatically discoverable (see Matter of Jayson C (200 AD3d 447, 449 [1st Dept 2021]); People v Rodriguez (Misc 3d, 2022 NY Slip Op 22393 [App Term, Ist Dept 2022]). The People’s COC filed without the underlying disciplinary records for Officer [name redacted] was invalid on these grounds, in addition to the missing NYPD documents discussed above."""
69,Queens,"""The accusatory instrument in this case contains unconverted hearsay as to the trespass letter; therefore, the People’s certification that “all counts charged in the accusatory instrument meet the requirements of sections 100.15 and 100.40” of the CPL is invalid. The statement of readiness based on that certification is therefore also invalid."""
70,Queens,"""Here, the People's submissions do not establish a satisfying of the requirements of the discovery statute."""
70,Queens,"""Here, the proffered reasons for the People's delayed disclosure are not satisfactory to this Court."""
70,Queens,"""Indeed, the People really offer no reasons for its delay in disclosure pursuant to mandates of the discovery statute, nor do the People show why, with the exercise of due diligence, the omitted discovery material could not have been timely provided as required."""
70,Queens,"""The People's nondisclosure of the relevant records requested by the defense in their February and March email correspondences violated their C.P.L. § 245.20(1) discovery obligations."""
70,Queens,"""Because the People filed their COC without the required automatic disclosures, their COC and SOR are invalid."""
71,NY,"""No one has said these items are lost or destroyed – not even Officer [name redacted] who both parties agree created these documents."""
71,NY,"""Notably, the People here have never once called Officer [name redacted] to ask about these missing items – either while she was still working at NYPD or since she left."""
71,NY,"""These actions do not unequivocally support the conclusion that these discovery items are permanently lost or destroyed, nor do they constitute due diligence."""
71,NY,"""In all likelihood, these items exist and could be disclosed if the People pursued this issue further."""
71,NY,"""For the aforementioned reasons, it cannot be said that the People acted with due diligence and their failure to disclose Officer [name redacted] BWC and activity log renders their COC and accompanying COR invalid."""
72,Kings,"""The Prosecution's argument that the companion DD5 and the BWC are not related to the subject matter of the case and are therefore not subject to automatic discovery is unavailing."""
72,Kings,"""It is not up to the Prosecution to determine whether discoverable materials have enough evidentiary value to warrant disclosure."""
72,Kings,"""The Court disagrees with the Prosecution's argument that they are permitted to redact information from discoverable materials without first seeking a protective order."""
72,Kings,"""The Prosecution also says unconvincingly that nothing in CPL $245.20(6) suggests that the list of permissive redactions is exhaustive, but in doing so they ask the Court to disregard the plain meaning of the text and read unwritten words into the statute."""
72,Kings,"""The Prosecution may not decline to seek out police paperwork simply because they have not yet seen such paperwork and Defendant, through counsel, has not provided an example."""
73,Queens,"""Without facts alleging 'some level of pressure' beyond the contact associated with 'any touch,' the accusatory instrument is facially insufficient as to the count of forcible touching."""
73,Queens,"""The People were on notice with the passing of the statute that any information in their possession which tends to impeach is automatically discoverable."""
73,Queens,"""Furthermore, whenever there is any question as to interpreting discoverability, the statute mandates that a prosecutor should err on the side of disclosure."""
73,Queens,"""The People’s remaining argument that their belated disclosure of the underlying disciplinary records (attached as exhibits to their response papers) establishes a good faith effort to disclose the records is unavailing."""
73,Queens,"""Accordingly, without evidence of due diligence or a showing of special circumstances, the People’s COCs and supplemental COCs filed without the underlying police disciplinary records for the listed testifying officers is invalid."""
74,Queens,"""The People unilaterally redacted the Narcotics Division DD5 when in reality the court’s determination is the deciding factor, not their office’s subjective opinion."""
74,Queens,"""Members of law enforcement should take special care to ensure that all material favorable to the defendant is turned over expeditiously."""
74,Queens,"""Here, there was a failure to maintain this flow of information."""
74,Queens,"""In this case, the Court cannot conclude that the People exercised due diligence to ascertain the existence of material and information subject to discovery before the filing of the initial certificate of compliance."""
74,Queens,"""The People failed to disclose exculpatory materials concerning an identification procedure that produced negative results (CPL 245.20[1][e] & [k]), contact information for multiple civilian witnesses (CPL 245.20[1][c]), and the pre-arraignment notification form (CPL 245.20[1][e])."""
75,Queens,"""The People are to be found in constructive possession of all discoverable material within the NYPD’s custody and control (CPL 245.20 [2]) and creates a duty for the prosecution to maintain the flow of information between their office and NYPD in order to certify discovery compliance (CPL 245,55)."""
75,Queens,"""The People did not make any applications to the court requesting additional time for discovery, but instead filed their COC while knowing discoverable material was outstanding."""
75,Queens,"""The People make no showing of due diligence or good faith in attempts to make those records discoverable."""
75,Queens,"""The People’s supplemental COC filed without the underlying CCRB documents, once the People had knowledge of the outstanding allegations, is invalid on this basis."""
75,Queens,"""The People’s duty to maintain a flow of information within their own office is paramount. 'It is well settled that office failure does not amount to special circumstances' (People v Guzman, 75 Misc 3d 132 [A] 2022 NY Slip Op 50445[U] [App Term, 2d Dept, 9th & 10th Jud Dists 2023])."""
76,Kings,"""While the court acknowledges the efforts the People did make to locate the [evidence], it is undisputable that they did not begin searching for it until after they had already filed their initial COC and SOR."""
76,Kings,"""Additionally, it is unlikely that there is no [evidence] in this case since the taking of such video is standard practice and further given that the People’s CPL § 710.30(1)(a) notice indicates that the defendant made statements at the IDTU."""
76,Kings,"""Moreover, the [evidence] is a critical piece of potentially exculpatory evidence in a DWI case in that it memorializes the defendant’s demeanor, appearance, movements, speech, etc."""
76,Kings,"""Therefore, for the People to hypothesize that such video probably doesn’t exist due to police non-responsiveness is insufficient for this court to make a finding of due diligence."""
77,Kings,"""Here, the court finds the People have failed to establish the prerequisite: that their efforts to obtain the missing materials were diligent and reasonable under the circumstances."""
77,Kings,"""Missing Discovery: Attachments for Activity Logs for Officer [name redacted]...Had the People reviewed their own discovery prior to the filing of their COC, they would have been alerted to the fact that this attachment was missing."""
77,Kings,"""Color Photograph of Vehicular Collision...The failure of the People to ascertain the existence of the photograph of the collision, and the delay in finally turning it over, was not diligent or reasonable under the circumstances."""
77,Kings,"""With respect to this item of belatedly disclosed discovery, the People have failed to establish that their efforts were diligent or reasonable."""
77,Kings,"""The People have not established that they acted reasonably or diligently under the circumstances."""
78,Kings,"""Thus, the failure to provide these records invalidated their COC."""
78,Kings,"""One telephone call and an electronic mail message with the last message having no response, prior to filing their COC, could not rise to the level of due diligence."""
78,Kings,"""The People failed to provide witness contact information for the two witnesses."""
78,Kings,"""Therefore, summary letters of misconduct that are evaluated and cherry picked by the People are not sufficient under the statute."""
78,Kings,"""The People’s explanation for the lack of discovery is inadequate and does not comport with due diligence nor with reasonable inquiry."""
79,Queens,"""However, the discovery was not completed because the People failed to provide the underlying documents in the LEOW letter."""
79,Queens,"""However, the People, at great risk, decided to ignore these cases and others that were issued, though never published, from the Queens Criminal Court."""
79,Queens,"""However, the People chose not to disclose."""
79,Queens,"""Accordingly, the certificate of compliance is invalid and the statement of readiness is invalid and therefore, this 50-day period of delay is included in speedy trial calculations."""
79,Queens,"""The People have not provided a reason for the 32 day delay."""
80,Kings,"""The court does not find that the People's Motion to Dismiss count(s) of [date redacted], stopped the speedy trial clock."""
80,Kings,"""This court finds that the People's instant motion to extend time, however, does not stop the speedy trial clock."""
80,Kings,"""The People's motion to extend time does not stop the speedy trial clock."""
80,Kings,"""On the merits, the court denies the People's motion to extend time."""
80,Kings,"""Under these circumstances, the court finds that the People have not timely and diligently complied with their obligations."""
81,Kings,"""Regrettably, the People according to their affirmation first requested Officer's [name redacted] assistance to obtain missing discovery 8 days prior to filing their COC. The effort was too little too late."""
81,Kings,"""Consequently, the court finds that the People’s last-minute effort to obtain the missing discovery cannot constitute good faith or due diligence."""
81,Kings,"""Additionally, the People in their opposition papers, admit they were aware that the memo books of the six officers were missing when they filed their COC/SOR."""
81,Kings,"""As a result, it was improper for the People to file their COC when they knew that discovery was still outstanding."""
81,Kings,"""Accordingly, the People have failed to establish that they acted with good faith and due diligence."""
82,Queens,"""the People withhold such material based on an erroneous reading of the law."""
82,Queens,"""the People failed to exercise due diligence in fulfilling their discovery obligation pursuant to CPL 245.20 (1) (k)."""
82,Queens,"""the People here failed to turn over any LEOW letters until eight months after filing their original COC."""
82,Queens,"""However, the People incorrectly place the burden on the defendant in reminding them of their automatic discovery obligations."""
82,Queens,"""Similarly here, the Court must find that the People failed to exercise due diligence in obtaining the LEOW letters pursuant to their discovery obligation under CPL 245.20 (1) (k)."""
83,Kings,"""The People have failed to establish that the body worn camera footage and activity logs of Police Officers [names redacted] are not discoverable."""
83,Kings,"""However, the People have given no indication that they fully investigated any potential evidence these officers may have despite the fact that the officers are named in the arresting officer’s activity log as adie on tour. This falls below the standard of due diligence that the statute requires."""
83,Kings,"""Accordingly, the People’s failure to obtain and disclose body worn camera footage and activity logs for Police Officer's [name redacted] an Giglio renders their initial certificate of compliance invalid."""
83,Kings,"""Contrary to the People’s contention, Weisman does not hold that all underlying records for allegations of sill misconduct are not automatically discoverable."""
83,Kings,"""Here, the defendant challenges the People’s contention that these records are not automatically discoverable under CPL § 245.20(1)(k) and the People have not sufficiently established facts to the contrary."""
84,Kings,"""In this instance the People failed to meet their burden of describing efforts to make sure the defense was able to access the electronic file they sent them."""
84,Kings,"""Thus, the People are obligated to disclose the underlying substantiated and unsubstantiated disciplinary records."""
84,Kings,"""However, the People failed to document what efforts, if any, were made to obtain and disclose the property vouchers, after the defense alerted them that the vouchers were not disclosed."""
84,Kings,"""The People cannot decline to disclose items of discovery because they claim it is duplicative of other items of discovery."""
84,Kings,"""Accordingly, the People’s failure to act in good faith and due diligence to ascertain the existence and serve the photographs taken by NYPD officers renders their CoC invalid."""
86,NY,"""But that summary does not provide the identity of the author of each entry, when each was entered, and if or when statements were modified or removed. In comparing the audit logs with the disclosed metadata, for example, the court found several instances in which higher ranking officers or supervisors added entries. These officers' names are not included in the final metadata summaries. Thus, the summaries fall short of what is required by statute."""
86,NY,"""The People argue that the audit logs are not in their actual possession because they are maintained by a private entity, Evidence.com, which is not under the people's control. The People argue a subpoena for the logs is required, thus, the logs are not subject to discovery pursuant to CPL 245.20 (2). This argument fails for several reasons."""
86,NY,"""First, it appears that the New York county District Attorney's office does in fact have access to Evidence.com."""
86,NY,"""Third, that the NYPD uses Evidence.com, a private company, to maintain evidence does not absolve the People of their discovery obligations."""
86,NY,"""The People opted instead to claim that audit logs were not discoverable. This was not the People's determination to make."""
87,Kings,"""The Court disagrees with the People’s assertion that because the command logs do not contain statements relevant to any offense or any potential defense thereto, they are irrelevant to the litigation."""
87,Kings,"""Contrary to the People’s assertions, BWC audit trails are discoverable."""
87,Kings,"""Thus, the command logs should have been disclosed."""
87,Kings,"""Therefore, audit trails are discoverable and the failure to disclose the said audit trails will affect the COC."""
87,Kings,"""Thus, the People are obligated to disclose the underlying substantiated and unsubstantiated disciplinary records."""
88,Queens,"""Since the People failed to disclose the [evidence] as a part of automatic discovery, the certificate of compliance is illusory."""
88,Queens,"""Since the People have failed to file a valid certificate of compliance, the statement of readiness is illusory."""
90,Queens,"""The law requires more than an ephemeral declaration of readiness susceptible to being rendered meaningless during the course of a defendant's prosecution."""
90,Queens,"""Therefore, as set forth in the concurring opinion of Chief Judge [name redacted] in People v [name redacted], the rule should be: 'the People must demonstrate that some exceptional fact or circumstance arose after their declaration of readiness so as to render them presently not ready for trial.'"""
90,Queens,"""Here, there was no such exceptional fact or circumstance rendering the People not ready on [date redacted], indeed, the court notes that there was not even an attempt by the prosecutor to ascertain whether they had previously announced ready and were, in fact, ready; whether their office had declared its readiness for trial by filing a COC and SOR, or whether all necessary discovery was turned over to the defense."""
90,Queens,"""In fact, the People demonstrated, through its lack of knowledge concerning what was disclosed, and what had transpired, that the People were not in fact ready to proceed to trial on [date redacted]; any prior declarations of trial readiness were thus 'ephemeral.'"""
90,Queens,"""Therefore, defendant's motion to dismiss is GRANTED."""
91,NY,"""Contrary to the People’s assertions, this Court finds that the audit trails are discoverable, pursuant to CPL §245.20(1)(e), because they contain written or recorded or summarized information about the body worn camera device and the body worn camera footage from this case."""
91,NY,"""This Court finds the People's erroneous assessment that the body worn camera audit trail log is not related to the subject matter of the case is irrelevant to the question of whether the material is subject to automatic disclosure."""
91,NY,"""At the outset, this Court finds that pursuant to CPL §245.20(1)(k)(iv), impeachment materials for involved law enforcement officers are discoverable, as it is relevant to whether the factfinder in the case should believe the witness, and therefore necessarily relates to the ‘subject matter of the case.’"""
91,NY,"""This Court agrees with defense counsel that the People are without authority to unilaterally decide the impeachment value of evidence."""
91,NY,"""Based on the foregoing, the Court finds that the People did not demonstrate good faith, act reasonably or exercise due diligence in their efforts to disclose all impeachment materials to the defendant."""
92,NY,"""Rather than provide a descriptive or meaningful discovery list, the People here provided a list of electronic file names (many, a series of letters and numbers). The People's chosen format undermines the statutory intent and spirit of article 245 to promote openness, fairness, and timeliness of discovery disclosures, and makes the process of assessing the completeness of the People's disclosures more difficult for defendant and the court."""
92,NY,"""But that summary does not provide the identity of the author of each entry, when each was entered, and if or when statements were modified or removed... Thus, the summaries fall short of what is required by statute."""
92,NY,"""The People argue that the audit logs are not in their actual possession because they are maintained by a private entity, Evidence.com, which is not under the People's control. This argument fails for several reasons."""
92,NY,"""The People opted instead to claim that audit logs were not discoverable. This was not the People's determination to make."""
92,NY,"""As the audit logs contain statements made by law enforcement, discoverable under CPL 245.20 (1)(e), and the People did not exercise diligence to obtain and disclose them, their original COC was not valid, and therefore, they could not properly answer ready for trial."""
93,Queens,"""The People argue that their discovery obligations were met by disclosing summary letters of police disciplinary records."""
93,Queens,"""The People continue to ignore that presumption as a matter of policy, despite routinely having discoverable items in their actual and constructive possession."""
93,Queens,"""Whether something is potential impeachment material is not for the People, the NYPD or the CCRB to determine, but rather for defense counsel."""
93,Queens,"""Providing summary letters of disciplinary records and a late disclosure with piecemeal underlying records, without any explanation, is not proof of 'due diligence'."""
93,Queens,"""Rather, here, the People had a list of officers participating in the defendant’s arrest and knowingly failed to disclose discoverable impeachment material in their constructive possession without leave of the court or a protective order, demonstrating a blatant disregard for the disclosure requirements of the statute."""
94,Kings,"""The People’s attention was even drawn to the possibility of missing medical records by the defense on more than one occasion, at which time the People simply indicated that no other records existed, without outlining what efforts they made, if any, to confirm that."""
94,Kings,"""The People’s response papers also fail to outline any efforts made between November 2022, and November 2023, to ascertain this information."""
94,Kings,"""A simple review of the initial records would have raised the possibility of further medical records to the People, as would any conversations with the complainant between the time of his testimony in the grand jury and the eve of trial."""
94,Kings,"""Under these circumstances, the Court cannot find that the People exercised due diligence as it relates to these discoverable items."""
94,Kings,"""As the People’s failure to provide the medical related documents invalidates the People’s certificate of compliance, the Court declines to make a determination on the other items purported to be discoverable and missing, as it is moot."""
95,Queens,"""Since the People failed to disclose the [evidence] as a part of automatic discovery, the certificate of compliance is illusory."""
95,Queens,"""Since the People have failed to file a valid certificate of compliance, the statement of readiness is illusory."""
96,Queens,"""Since the People failed to disclose the [evidence] as a part of automatic discovery, the certificate of compliance is illusory."""
96,Queens,"""Since the People have failed to file a valid certificate of compliance, the statement of readiness is illusory."""
97,Kings,"""The People’s explanations that they were unaware that materials in NYPD possession existed, and the NYPD did not turn over the [evidence] prior to the filing of the COC are not sufficient to excuse untimely disclosure."""
97,Kings,"""This court concludes that 'obtains' does not require the information to have come from outside the police."""
97,Kings,"""Accordingly, this court finds that the disclosure of [evidence] is mandatory automatic discovery under CPL 245.20(1), and the People’s COC is invalidated for their nondisclosure."""
97,Kings,"""As such, the People were obligated to ascertain whether [evidence] exists. The People do not specify any efforts to satisfy this obligation."""
97,Kings,"""In light of the foregoing, the People’s COC is invalid."""
99,Kings,"""Here, the People have failed to establish what efforts were made, with respect to the police accident report, to comply with the statute."""
99,Kings,"""Their failure to even inquire about an accident report in a matter where a collision occurred falls short of the level of diligence required by the statute."""
99,Kings,"""The People’s failure to so disclose requires invalidation of their initial certificate of compliance."""
99,Kings,"""Because the People have not provided an adequate explanation for this error that would allow the court to conclude that it was not due to a lack of diligence, the court must deem the People’s certificate of compliance invalid."""
99,Kings,"""Here, the defendant challenges the People’s contention that these records are not automatically discoverable under CPL § 245.20(1)(k) and the People have not sufficiently established facts to the contrary."""
100,Kings,"""Notably, the Court contacted the parties via e-mail on [date redacted] about the failure to file any opposition papers, and only then did the People file an opposition the following day on [date redacted]."""
100,Kings,"""It is well-settled that where the People fail to meet a court-imposed deadline, without demonstrating the necessary speedy trial exclusion, such period of delay is chargeable to the People."""
100,Kings,"""Accordingly, the People are charged speedy trial time as follows: From [date redacted], when the accusatory instrument was filed in this case, to the date of the People’s COC on [date redacted], the People are first charged 76 days."""
100,Kings,"""Finally, the People are charged an additional 10 days for the delay in failing to meet a court-imposed deadline between [date redacted], the due date of the People’s opposition papers, and [date redacted], the date of receipt by this Court."""
100,Kings,"""Notwithstanding, separate from the foregoing basis for dismissal, it must also be noted that the People’s COC was illusory because they failed to comply with People v. Hamizane, as the People failed to provide the defense with all copies of disciplinary records for potential police witnesses."""
101,Queens,"""the People failed to exercise due diligence and make reasonable inquiries to ascertain the existence of the BWC footage."""
