judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge__cj__court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Jaime C Louridas,Family Court Judge,,2025-01-01,2034-12-31,Albany County,Albany County Family Court,2025,,,,,,
Joshua L Farrell,City Court Judge,,2017-01-01,2026-12-31,Albany County,"Albany City Court, Criminal Pt",2016,,,,,,
William G Kelly,City Court Judge,,2020-01-01,2029-12-31,Albany County,"Albany City Court, Civil/Traff",2020,,,,,,
John J Reilly,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Albany County,"Albany City Court, Criminal Pt",2017,3,City,,,,
Holly Trexler,City Court Judge,,2018-01-01,2027-12-31,Albany County,"Albany City Court, Criminal Pt",2017,,,,,,
Deborah S Kearns,Surrogate Court Judge,,2025-01-01,2034-12-31,Albany County,Albany County Surrogate's Ct,2025,,,,,,
Susan Kushner,Family Court Judge,ACT SUP CT JUS,2024-01-01,2029-12-31,Albany County,Albany County Family Court,2014,,,,,,
Eric M Galarneau,City Court Judge,,2020-01-01,2025-12-31,Albany County,Cohoes City Court,2020,,,,,,
Ricja D Rice-Ghyll,Family Court Judge,,2025-01-01,2034-12-31,Albany County,Albany County Family Court,2021,,,,,,
Jillian Faison,Family Court Judge,,2025-01-01,2034-12-31,Albany County,Albany County Family Court,2025,,,,,,
Andra Ackerman,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Albany County,Albany County Supreme Court,2016,3,County,,,,
Brett M Knowles,City Court Judge,,2024-07-25,2030-07-24,Albany County,Cohoes City Court,2024,,,,,,
Marisa Franchini,City Court Judge,,2025-01-01,2034-12-31,Albany County,"Albany City Court, Civil/Traff",2025,,,,,,
William T Little,County Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Albany County,Albany County Court,2022,,,,,,
Michael Howard,County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Columbia County,Columbia County Court (M-B),2024,,,,,,
Brian J Herman,County Surrogate Family Court Judge,,2024-01-01,2028-12-31,Columbia County,Columbia County Court (M-B),2016,,,,,,
John Connor Jr,City Court Judge,,2025-01-01,2029-12-31,Columbia County,Hudson City Court,2012,,,,,,
Cheryl Roberts,City Court Judge,,2022-08-17,2028-08-16,Columbia County,Hudson City Court,2022,,,,,,
Charles M Tailleur,County Surrogate Family Court Judge,,2021-01-01,2030-12-31,Greene County,Greene County Supreme Ct(M-B),2011,,,,,,
David Costanzo,County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Greene County,Greene County Court (M-B),2024,,,,,,
Matthew J Turner,Family Court Judge,,2025-01-01,2034-12-31,Rensselaer County,Rensselaer County Family Court,1999,,,,,,
Elizabeth M Walsh,Family Court Judge,,2020-01-01,2029-12-31,Rensselaer County,Rensselaer County Family Court,2010,,,,,,
Linda B Johnson,City Court Judge,,2025-01-01,2030-12-31,Rensselaer County,Rensselaer City Court,2020,,,,,,
Jennifer G Sober,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Rensselaer County,Rensselaer County Court,2018,,,,,,
Debra J Young,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Rensselaer County,Rensselaer County Court,2013,3,Problem Solving Courts,,,,
Marc Pallozzi,City Court Judge,,2023-01-01,2028-12-31,Rensselaer County,Troy City Court,2023,,,,,,
Anne Coonrad,City Court Judge,,2023-01-01,2032-12-31,Rensselaer County,Troy City Court,2022,,,,,,
Paul V Morgan Jr,Surrogate Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Rensselaer County,Rensselaer County Surrogate,2014,,,,,,
Christopher T Maier,City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Rensselaer County,Troy City Court,2005,,,,,,
Jill Kehn,Family Court Judge,,2022-01-01,2031-12-31,Rensselaer County,Rensselaer County Family Court,2015,,,,,,
Heather L Dukes,City Court Judge,,2025-01-01,2030-12-31,Rensselaer County,Rensselaer City Court,2025,,,,,,
Ryan T Mcallister,County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Schoharie County,Schoharie County Court (M-B),2023,,,,,,
E Danielle Jose-Decker,County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Sullivan County,Sullivan County Family Court,2021,3,Town & Villiage,,,,
James R Farrell,County Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Sullivan County,Sullivan County Court (M-B),2020,,,,,,
Jacqueline Ricciani,Family Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Sullivan County,Sullivan County Family Court,2023,,,,,,
Anthony Mcginty,Family Court Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Ulster County,Ulster County Family Court,2006,,,,,,
Sara W Mcginty,Surrogate Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Ulster County,Ulster County Surrogate's Ct,2017,,,,,,
Bryan E Rounds,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Ulster County,Ulster County Court,2020,,,,,,
Sarah Rakov,Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Ulster County,Ulster County Family Court,2022,,,,,,
Keri E Savona,Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Ulster County,Ulster County Family Court,2015,3,Family,,,,
Lawrence E Ball,City Court Judge,,2021-01-01,2030-12-31,Ulster County,Kingston City Court,2007,,,,,,
Philip W Kirschner,City Court Judge,,2017-01-01,2026-12-31,Ulster County,Kingston City Court,2010,,,,,,
William A Favreau,Surr and County Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Clinton County,Clinton County Court (M-B),2017,,,,,,
Matthew G Favro,City Court Judge,,2020-12-18,2026-12-17,Clinton County,Plattsburgh City Court,2021,,,,,,
Amy Asadourian,Family Court Judge,,2024-01-01,2033-12-31,Clinton County,Clinton County Court (M-B),2024,,,,,,
Timothy G Blatchley,City Court Judge,ACT CNTY JGE,2020-12-17,2030-12-16,Clinton County,Plattsburgh City Court,2019,4,Town & Villiage,,,,
Keith M Bruno,County Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Clinton County,Clinton County Court (M-B),2017,,,,,,
Kristy L Sprague,County Surrogate Family Court Judge,,2025-01-01,2034-12-31,Essex County,Essex County Court (M-B),2025,,,,,,
Craig P Carriero,County Surrogate Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Franklin County,Franklin County Court (M-B),2022,,,,,,
Derek Champagne,Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Franklin County,Franklin County Family Ct(M-B),2015,,,,,,
Michael C Viscosi,City Court Judge,,2021-12-04,2027-12-03,Fulton County,Johnstown City Court,2015,,,,,,
Brett A Preston,City Court Judge,,2023-01-01,2028-12-31,Fulton County,Johnstown City Court,2015,,,,,,
Chad W Brown,County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Fulton County,Fulton County Court (M-B),2022,,,,,,
Cory R Dalmata,City Court Judge,,2021-04-01,2027-03-31,Fulton County,Gloversville City Court,2015,,,,,,
Michael W Smrtic,County Surrogate Court Judge,,2021-01-01,2030-12-31,Fulton County,Fulton County Supreme Ct(M-B),2021,,,,,,
Traci Dimezza,City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Fulton County,Gloversville City Court,2013,,,,,,
J Gerard Mcauliffe Jr,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Fulton County,Fulton County Family Court,2019,,,,,,
Tatiana N Coffinger,County Surrogate Family Court Judge,,2020-01-01,2029-12-31,Hamilton County,Hamilton County Court (M-B),2020,,,,,,
William J Mycek,City Court Judge,,2023-01-01,2028-12-31,Montgomery County,Amsterdam City Court,2016,,,,,,
Lorraine Diamond,County Judge,,2025-01-01,2033-12-31,Montgomery County,Montgomery County Court,2025,,,,,,
Krishna K Singh,Surrogate Court Judge,ADM JGE ACT SUP CT JS,2023-01-01,2032-12-31,Montgomery County,Montgomery County Surrogate,2023,,,,,,
Lisa W Lorman,City Court Judge,ACT CNTY JGE,2016-01-01,2025-12-31,Montgomery County,Amsterdam City Court,2008,4,City,,,,
Michael G Dayian,Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Montgomery County,Montgomery County Family Court,2022,,,,,,
Keith S Massey,City Court Judge,,2021-01-01,2026-12-31,St. Lawrence County,Ogdensburg City Court,2021,,,,,,
Andrew S Moses,Family Court Judge,,2022-01-01,2031-12-31,St. Lawrence County,St. Lawrence County Family Ct,2022,,,,,,
Marcia L Lemay,City Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,St. Lawrence County,Ogdensburg City Court,2021,4,Town & Villiage,,,,
Gregory P Storie,County Judge,,2021-01-01,2030-12-31,St. Lawrence County,St. Lawrence County Court,2021,,,,,,
Efstathia G Kyriakopoulos,Family Court Judge,,2025-01-01,2034-12-31,St. Lawrence County,St. Lawrence County Court,2025,,,,,,
Michelle Ladouceur,Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,St. Lawrence County,St. Lawrence County Court,2022,,,,,,
Michael J Hartnett,Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Saratoga County,Saratoga County Family Court,2023,,,,,,
James Davis,County Judge,,2025-01-01,2034-12-31,Saratoga County,Saratoga County Court,2025,,,,,,
Amy J Knussman,Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Saratoga County,Saratoga County Family Court,2021,,,,,,
Jeffrey D Wait,City Court Judge,ACT CNTY JGE,2017-01-01,2026-12-31,Saratoga County,Saratoga Springs City Court,2009,,,,,,
Jeffrey N Bagnoli,City Court Judge,,2020-01-01,2025-12-31,Saratoga County,Mechanicville City Court,2020,,,,,,
Constantine F Destefano,City Court Judge,,2025-01-01,2030-12-31,Saratoga County,Mechanicville City Court,2018,,,,,,
Heather Brondi-Marx,Family Court Judge,,2024-01-01,2033-12-31,Saratoga County,Saratoga County Family Court,2024,,,,,,
Francine R Vero,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Saratoga County,Saratoga Springs City Court,2017,,,,,,
Jonathan Schopf,Surrogate Court Judge,,2024-01-01,2033-12-31,Saratoga County,Saratoga County Surrogate's Ct,2024,,,,,,
Katherine A Mcguirl,City Court Judge,,2023-01-01,2032-12-31,Schenectady County,Schenectady City Court,2023,,,,,,
Mark J Caruso,City Court Judge,ACT CNTY JGE,2016-01-01,2025-12-31,Schenectady County,Schenectady City Court,2015,4,Town & Villiage,,,,
Matthew J Sypniewski,County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Schenectady County,Schenectady County Court,2011,,,,,,
Kevin A Burke,Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Schenectady County,Schenectady County Family Ct,2014,,,,,,
Teneka E Frost,City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Schenectady County,Schenectady City Court,2018,,,,,,
Mark W Blanchfield,Family Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Schenectady County,Schenectady County Family Ct,2010,,,,,,
Samantha Miller Herrera,Family Court Judge,,2025-01-01,2034-12-31,Schenectady County,Schenectady County Family Ct,2025,,,,,,
Vincent W Versaci,Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Schenectady County,Schenectady County Court,2003,,,,,,
Carl G Falotico,City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Schenectady County,Schenectady City Court,2020,,,,,,
Jacquelyn P White,City Court Judge,,2024-01-01,2029-12-31,Warren County,Glens Falls City Court,2023,,,,,,
Ted M Wilson,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Warren County,Warren County Supreme Ct(M-B),2017,,,,,,
Gary C Hobbs,City Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Warren County,Glens Falls City Court,2004,4,Town & Villiage,,,,
Robert A Smith,County Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Warren County,Warren County Supreme Ct(M-B),2021,,,,,,
Kelly S Mckeighan,County Surrogate Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Washington County,Washington County Court (M-B),2007,4,County,,,,
Adam D Michelini,County Surrogate Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Washington County,Washington County Family(M-B),2015,4,Family,,,,
Joshua P Bannister,City Court Judge,,2022-01-01,2027-12-31,Herkimer County,Little Falls City Court,2022,,,,,,
Sarah M Brinski,City Court Judge,,2024-01-01,2029-12-31,Herkimer County,Little Falls City Court,2023,,,,,,
John H Crandall,County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2027-12-31,Herkimer County,Herkimer County Supreme Court,2011,5,Town & Villiage,,,,
Thaddeus J Luke,Family Court Judge,,2021-01-01,2030-12-31,Herkimer County,Herkimer County Supreme Court,2021,,,,,,
Mary E Doheny,City Court Judge,,2025-01-01,2025-12-31,Jefferson County,Watertown City Court,2025,,,,,,
David A Renzi,County Judge,,2020-01-01,2030-12-31,Jefferson County,Jefferson County Court,2020,,,,,,
Anthony M Neddo,Family Court Judge,,2025-01-01,2034-12-31,Jefferson County,Jefferson County Court,2018,,,,,,
Eric T Swartz,City Court Judge,,2021-04-01,2026-12-31,Jefferson County,Watertown City Court,2021,,,,,,
Justin F Brotherton,Family Court Judge,,2025-01-01,2034-12-31,Jefferson County,Jefferson County Family Court,2025,,,,,,
Timothy L Virkler,Surrogate Court Judge,,2025-01-01,2034-12-31,Jefferson County,Jefferson County Court,2025,,,,,,
Daniel R King,County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Lewis County,Lewis County Court (M-B),2012,,,,,,
Gregory J Amoroso,City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Oneida County,Rome City Court,2014,5,City,,,,
Grant J Garramone,City Court Judge,,2024-01-01,2033-12-31,Oneida County,Utica City Court,2024,,,,,,
Raymond F Bara,Family Court Judge,,2025-01-01,2034-12-31,Oneida County,Oneida County Supreme Court,2025,,,,,,
Robert Bauer,County Judge,,2017-01-01,2026-12-31,Oneida County,Oneida County Supreme Court,2017,,,,,,
Paul M Deep,Family Court Judge,,2018-01-01,2027-12-31,Oneida County,Oneida County Family Court,2018,5,CJ/Treatment Courts,,,,
Julia M Brouillette,Family Court Judge,,2025-01-01,2034-12-31,Oneida County,Oneida County Supreme Court,2015,,,,,,
Joseph A Saba,City Court Judge,,2021-01-01,2030-12-31,Oneida County,Utica City Court,2021,,,,,,
Louis P Gigliotti,Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2026-12-31,Oneida County,Oneida County Surrogate's Ct,2009,,,,,,
Stephanie Viscelli,City Court Judge,,2024-01-01,2033-12-31,Oneida County,Rome City Court,2024,,,,,,
Jason D Flemma,Family Court Judge,,2022-01-01,2031-12-31,Oneida County,Oneida County Family Court,2022,,,,,,
Christopher Giruzzi,City Court Judge,,2016-01-01,2025-12-31,Oneida County,Utica City Court,2016,,,,,,
James W Betro,City Court Judge,,2019-10-01,2025-09-30,Oneida County,Sherrill City Court,2013,,,,,,
Michael R Nolan,County Judge,,2025-01-01,2034-12-31,Oneida County,Oneida County Supreme Court,2025,,,,,,
Randal B Caldwell,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Oneida County,Oneida County Family Court,1994,5,Family,,,,
Christina M El Bayadi,Family Court Judge,,2025-01-01,2034-12-31,Onondaga County,Onondaga County Supreme Court,2025,,,,,,
Christina F Dejoseph,Family Court Judge,,2021-01-01,2030-12-31,Onondaga County,Onondaga County Supreme Court,2021,,,,,,
Shadia Tadros,City Court Judge,,2021-01-01,2030-12-31,Onondaga County,Syracuse City Court,2021,,,,,,
Mary Anne Doherty,City Court Judge,ACT CNTY JGE,2024-01-01,2031-12-31,Onondaga County,Syracuse City Court,2014,,,,,,
James H Cecile,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Onondaga County,Syracuse City Court,2002,5,City,,,,
Felicia Pittsdavis,City Court Judge,,2021-01-01,2030-12-31,Onondaga County,Syracuse City Court,2021,,,,,,
Tonastacia S Dennis,City Court Judge,,2025-01-01,2034-12-31,Onondaga County,Syracuse City Court,2025,,,,,,
Julia A Cerio,Family Court Judge,,2021-01-01,2030-12-31,Onondaga County,Onondaga County Supreme Court,2021,,,,,,
Theodore H Limpert,County Judge,,2023-01-01,2029-12-31,Onondaga County,Onondaga County Court,2009,,,,,,
Ann M Magnarelli,City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Onondaga County,Syracuse City Court,2019,,,,,,
Mary K Smith,Surrogate Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Onondaga County,Onondaga County Surrogate's Ct,2018,,,,,,
Melinda H Mcgunnigle,County Judge,,2023-01-01,2032-12-31,Onondaga County,Onondaga County Court,2023,,,,,,
Joseph J Zavaglia,Family Court Judge,,2024-01-01,2033-12-31,Onondaga County,Onondaga County Family Court,2024,,,,,,
Ross P Andrews,City Court Judge,,2025-01-01,2033-12-31,Onondaga County,Syracuse City Court,2015,,,,,,
Derrek T Thomas,City Court Judge,,2018-01-01,2027-12-31,Onondaga County,Syracuse City Court,2017,,,,,,
Erica T Clarke,City Court Judge,,2022-01-01,2031-12-31,Onondaga County,Syracuse City Court,2021,,,,,,
Matthew J Doran,County Judge,,2017-01-01,2026-12-31,Onondaga County,Onondaga County Court,2017,5,County,,,,
Julie A Cecile,Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Onondaga County,Onondaga County Family Court,2013,5,Family,,,,
Diane E Plumley,Family Court Judge,,2024-01-01,2033-12-31,Onondaga County,Oneida County Family Court,2024,,,,,,
Armen J Nazarian,County Judge,,2022-01-01,2031-12-31,Oswego County,Oswego County Family Court,2022,,,,,,
Karen M Brandt,County Judge,,2021-01-01,2030-12-31,Oswego County,Oswego County Supreme Court,2021,5,Town & Villiage,,,,
Graham B Seiter,City Court Judge,,2025-01-01,2030-12-31,Oswego County,Fulton City Court,2024,,,,,,
Thomas Benedetto,Family Court Judge,,2020-01-01,2029-12-31,Oswego County,Oswego County Family Court,2020,,,,,,
Allison J Nelson,Family Court Judge,,2019-01-01,2028-12-31,Oswego County,Oswego County Family Court,2019,,,,,,
Thomas A Reynolds,City Court Judge,,2020-03-17,2026-03-16,Oswego County,Oswego City Court,2002,,,,,,
Spencer Ludington,Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2029-12-31,Oswego County,Oswego County Surrogate's Ct,1997,,,,,,
James M Nicholson,City Court Judge,,2025-01-01,2034-12-31,Oswego County,Fulton City Court,2020,,,,,,
Timothy J Kirwan,City Court Judge,,2024-01-01,2033-12-31,Oswego County,Oswego City Court,2023,,,,,,
Judith Osburn,City Court Judge,,2025-01-01,2034-12-31,Broome County,Binghamton City Court,2025,,,,,,
Brett S Noonan,Family Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Broome County,Broome County Family Court,2022,,,,,,
Debra Gelson,City Court Judge,,2024-01-01,2028-12-31,Broome County,Binghamton City Court,2024,,,,,,
Joseph F Cawley,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Broome County,Broome County Court,2008,6,County,,,,
Mark H Young,Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Broome County,Broome County Family Court,2015,,,,,,
Daniel L Seiden,City Court Judge,,2025-01-01,2028-12-31,Broome County,Binghamton City Court,2008,,,,,,
Hollie S Levine,Family Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,Broome County,Broome County Family Court,2021,,,,,,
David H Guy,Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2026-12-31,Broome County,Broome County Supreme Court,2011,,,,,,
Carol A Cocchiola,County Judge,ACT FAM CT JGE,2023-01-01,2028-12-31,Broome County,Broome County Court,2014,6,Town & Villiage,,,,
Veronica M Gorman,Family Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Broome County,Broome County Family Court,2022,,,,,,
Ottavio Campanella,County Surrogate Court Judge,,2021-01-01,2030-12-31,Chemung County,Chemung County Court (M-B),2013,,,,,,
Steven W Forrest,City Court Judge,ACT FAM CT JGE,2020-01-01,2025-12-31,Chemung County,Elmira City Court,1996,6,City,,,,
Richard W Rich,County Surrogate Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Chemung County,Chemung County Court (M-B),2014,,,,,,
Bryan Maggs,Family Court Judge,,2025-01-01,2034-12-31,Chemung County,Chemung County Family Court,2025,,,,,,
Mary M Tarantelli,Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Chemung County,Chemung County Family Court,2015,6,Family,,,,
Peter F Finnerty,City Court Judge,,2022-01-01,2031-12-31,Chemung County,Elmira City Court,2021,,,,,,
Diane Distefano,Family Court Judge,,2025-01-01,2034-12-31,Chenango County,Chenango County Court (M-B),2025,,,,,,
Patrick J Flanagan,City Court Judge,,2024-01-01,2029-12-31,Chenango County,Norwich City Court,2018,,,,,,
Frank B Revoir Jr,County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Chenango County,Chenango County Family Ct(M-B),2013,,,,,,
Michael J Genute,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Chenango County,Norwich City Court,2018,,,,,,
David C Alexander,County Surrogate Family Court Judge,,2018-01-01,2025-12-31,Cortland County,Cortland County Court (M-B),2018,,,,,,
Lawrence J Knickerbocker,City Court Judge,,2025-01-01,2027-12-31,Cortland County,Cortland City Court,1993,,,,,,
A L Beth O'connor,Family Court Judge,,2025-01-01,2034-12-31,Cortland County,Cortland County Supr Ct(M-B),2025,,,,,,
Julie A Campbell,County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2032-12-31,Cortland County,Cortland County Court (M-B),2003,,,,,,
Ronald T Walsh,City Court Judge,,2025-01-01,2029-12-31,Cortland County,Cortland City Court,2024,,,,,,
Gary A Rosa,Family Court Judge,ACT CNTY JGE,2016-01-01,2025-12-31,Delaware County,Delaware County Family Ct(M-B),2016,,,,,,
John Hubbard,County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Delaware County,Delaware County Court (M-B),2023,,,,,,
Rhonda M Youngs,County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Madison County,Madison County Court (M-B),2023,3,CJ/Specialty Courts,,,,
Michael St Leger,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Madison County,Madison County Court (M-B),2020,,,,,,
Michael J Misiaszek,City Court Judge,,2020-01-01,2025-12-31,Madison County,Oneida City Court,2002,,,,,,
James W Betro,City Court Judge,,2020-01-01,2025-12-31,Madison County,Oneida City Court,2013,,,,,,
John F Lambert,County Surrogate Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Otsego County,Otsego County Supreme Ct (M-B),2009,6,DWI Parts/Prolem Solving,,,,
Michael F Getman,County Surrogate Family Court Judge,,2021-01-01,2027-12-31,Otsego County,Otsego County Supreme Ct (M-B),2021,,,,,,
Robert A Gouldin,City Court Judge,,2022-01-01,2027-12-31,Otsego County,Oneonta City Court,2022,,,,,,
Robert A Gouldin,City Court Judge,,2022-11-30,2028-11-29,Otsego County,Oneonta City Court,2022,,,,,,
Matthew Hayden,County Surrogate Family Court Judge,,2020-01-01,2029-12-31,Schuyler County,Schuyler County Court (M-B),2020,,,,,,
Adam Schumacher,County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Tioga County,Tioga County Court (M-B),2023,,,,,,
Seth J Peacock,City Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,Tompkins County,Ithaca City Court,2014,,,,,,
Maura Kennedy-Smith,County Surrogate Family Court Judge,,2025-01-01,2034-12-31,Tompkins County,Tompkins County Supr Ct(M-B),2025,,,,,,
Joseph R Cassidy,County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Tompkins County,Tompkins County Court (M-B),2014,,,,,,
Richard M Wallace,City Court Judge,ACT CNTY JGE,2025-01-01,2027-12-31,Tompkins County,Ithaca City Court,2015,,,,,,
Scott Alan Miller,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Tompkins County,Tompkins County Supr Ct(M-B),2013,,,,,,
Thomas G Leone,County Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Cayuga County,Cayuga County Family Ct(M-B),2007,,,,,,
Jon E Budelmann,Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Cayuga County,Cayuga County Surrogate's Ct,2022,,,,,,
Steven H Buschman,Family Court Judge,,2025-01-01,2034-12-31,Cayuga County,Cayuga County Court (M-B),2025,,,,,,
David B Thurston,City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Cayuga County,Cayuga County Family Ct(M-B),2014,,,,,,
Kristin L Garland,City Court Judge,,2025-01-03,2031-01-02,Cayuga County,Cayuga County Court (M-B),2019,,,,,,
Kevin G Vanallen,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Livingston County,Livingston County Court (M-B),2020,,,,,,
Jennifer M Noto,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Livingston County,Livingston County Court (M-B),2020,,,,,,
Michael C Lopez,City Court Judge,,2019-01-01,2028-12-31,Monroe County,Monroe County Supreme Court,2019,,,,,,
Michael F Geraci,City Court Judge,,2025-01-01,2034-12-31,Monroe County,Rochester City Court,2025,,,,,,
Jacquelyn L Grippe,City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Monroe County,Rochester City Court,2023,,,,,,
Constance A Patterson,City Court Judge,,2024-01-01,2033-12-31,Monroe County,Monroe County Supreme Court,2023,,,,,,
Douglas A Randall,County Judge,ACT SUP CT JUS,2022-01-01,2028-12-31,Monroe County,Monroe County Supreme Court,2011,,,,,,
Sarah E Marshall,Family Court Judge,,2025-01-01,2034-12-31,Monroe County,Monroe County Supreme Court,2025,,,,,,
Van H White,City Court Judge,,2023-01-01,2032-12-31,Monroe County,Rochester City Court,2022,,,,,,
Caroline E Edwards-Morrison,County Judge,,2022-01-01,2031-12-31,Monroe County,Monroe County Court,2014,,,,,,
Joseph G Nesser,Family Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Monroe County,Monroe County Family Court,2008,,,,,,
Christopher S Ciaccio,Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2028-12-31,Monroe County,Monroe County Supreme Court,2014,7,CJ/Surrogate Court,,,,
Deral D Givens,Family Court Judge,ACT SUP CT JUS,2023-01-01,2029-12-31,Monroe County,Monroe County Family Court,2022,,,,,,
Melissa L Barrett,City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Monroe County,Monroe County Supreme Court,2018,7,City,,,,
Maija C Dixon,City Court Judge,ACT CNTY JGE,2017-01-01,2026-12-31,Monroe County,Rochester City Court,2007,,,,,,
Karen B Turner,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Monroe County,Monroe County Court,2020,,,,,,
Michael T Ansaldi,County Judge,,2025-01-03,2034-12-31,Monroe County,Monroe County Supreme Court,2025,,,,,,
Kristine M Demo-Vazquez,Family Court Judge,,2024-01-01,2033-12-31,Monroe County,Monroe County Family Court,2024,,,,,,
Julie M Hahn,County Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Monroe County,Monroe County Supreme Court,2022,,,,,,
Michael L Dollinger,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Monroe County,Monroe County Court,2020,7,Town & Villiage,,,,
Nicole Morris,City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Monroe County,Rochester City Court,2020,,,,,,
Alecia J Mazzo,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Monroe County,Monroe County Supreme Court,2019,,,,,,
